"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.068493750E-1,-1.501377869E-1,7.200027466E-2,9.843530273E0,9.844938478E0
7.167993750E-1,-1.603166199E-1,7.933502197E-2,9.832004242E0,9.833631215E0
7.267483750E-1,-1.613644409E-1,8.038284302E-2,9.841584320E0,9.843235333E0
7.366973750E-1,-1.547781372E-1,7.319778442E-2,9.838141479E0,9.839631190E0
7.466463750E-1,-1.579216003E-1,6.975494385E-2,9.840686188E0,9.842200447E0
7.565963750E-1,-1.552272034E-1,8.008346558E-2,9.839039612E0,9.840589887E0
7.665453750E-1,-1.550775146E-1,7.768844604E-2,9.847272491E0,9.848799929E0
7.764943750E-1,-1.586700439E-1,7.619155884E-2,9.837542725E0,9.839117247E0
7.864433750E-1,-1.597178650E-1,7.604187012E-2,9.842033386E0,9.843622978E0
7.963933750E-1,-1.567240906E-1,7.484436035E-2,9.842183075E0,9.843715345E0
8.063423750E-1,-1.531315613E-1,6.945556641E-2,9.836794281E0,9.838231298E0
8.162913750E-1,-1.493893433E-1,7.843688965E-2,9.830956421E0,9.832404267E0
8.262403750E-1,-1.564247131E-1,7.005432129E-2,9.840536499E0,9.842029003E0
8.361893750E-1,-1.552272034E-1,7.544311523E-2,9.834998016E0,9.836512244E0
8.461393750E-1,-1.562750244E-1,7.140151978E-2,9.840087433E0,9.841587308E0
8.560883750E-1,-1.535806274E-1,6.646179199E-2,9.848470001E0,9.849891651E0
8.660373750E-1,-1.583706665E-1,7.993377686E-2,9.847571869E0,9.849169629E0
8.759863750E-1,-1.607656860E-1,7.708969116E-2,9.833650818E0,9.835266994E0
8.859363750E-1,-1.594184875E-1,6.900650024E-2,9.835297394E0,9.836831348E0
8.958853750E-1,-1.526824951E-1,7.319778442E-2,9.846374359E0,9.847830110E0
9.058343750E-1,-1.588197327E-1,8.038284302E-2,9.832453308E0,9.834064428E0
9.157833750E-1,-1.552272034E-1,6.691085815E-2,9.850116577E0,9.851566836E0
9.257333750E-1,-1.598675537E-1,7.185058594E-2,9.840087433E0,9.841648278E0
9.356823750E-1,-1.564247131E-1,7.304809570E-2,9.838740234E0,9.840254779E0
9.456313750E-1,-1.600172424E-1,7.514373779E-2,9.847571869E0,9.849158533E0
9.555803750E-1,-1.537303162E-1,7.694000244E-2,9.834698639E0,9.836200999E0
9.655303750E-1,-1.573228455E-1,7.499404907E-2,9.837393036E0,9.838936748E0
9.754793750E-1,-1.553768921E-1,7.619155884E-2,9.835896149E0,9.837418370E0
9.854283750E-1,-1.568737793E-1,7.439529419E-2,9.837991791E0,9.839523694E0
9.953773750E-1,-1.618135071E-1,7.798782349E-2,9.836195526E0,9.837835541E0
1.005327375E0,-1.528321838E-1,7.409591675E-2,9.833501129E0,9.834967836E0
1.015276375E0,-1.555265808E-1,7.364685059E-2,9.834848328E0,9.836353695E0
1.025225375E0,-1.555265808E-1,7.484436035E-2,9.835297394E0,9.836811730E0
1.035174375E0,-1.612147522E-1,7.708969116E-2,9.840686188E0,9.842308554E0
1.045124375E0,-1.529818726E-1,7.963439941E-2,9.843081207E0,9.844592056E0
1.055073375E0,-1.507365417E-1,7.289840698E-2,9.844278717E0,9.845702572E0
1.065022375E0,-1.538800049E-1,6.661148071E-2,9.835596771E0,9.837025973E0
1.074971375E0,-1.535806274E-1,7.095245361E-2,9.837991791E0,9.839446312E0
1.084921375E0,-1.484912109E-1,8.113128662E-2,9.834399261E0,9.835854857E0
1.094870375E0,-1.498384094E-1,7.589218140E-2,9.839039612E0,9.840473142E0
1.104819375E0,-1.553768921E-1,7.559280396E-2,9.840087433E0,9.841604388E0
1.114768375E0,-1.516346741E-1,7.888595581E-2,9.839638367E0,9.841122866E0
1.124717375E0,-1.448986816E-1,8.307723999E-2,9.845625916E0,9.847042557E0
1.134667375E0,-1.550775146E-1,7.514373779E-2,9.840237122E0,9.841745893E0
1.144616375E0,-1.603166199E-1,7.259902954E-2,9.836045837E0,9.837620126E0
1.154565375E0,-1.604663086E-1,7.080276489E-2,9.847721558E0,9.849283342E0
1.164514375E0,-1.619631958E-1,7.095245361E-2,9.850116577E0,9.851703554E0
1.174464375E0,-1.546284485E-1,7.544311523E-2,9.837542725E0,9.839047133E0
1.184413375E0,-1.477427673E-1,7.439529419E-2,9.838440857E0,9.839831354E0
1.194362375E0,-1.595681763E-1,7.484436035E-2,9.845176849E0,9.846754332E0
1.204311375E0,-1.624122620E-1,7.664062500E-2,9.836345215E0,9.837984484E0
1.214261375E0,-1.577719116E-1,7.185058594E-2,9.846374359E0,9.847900411E0
1.224210375E0,-1.532812500E-1,6.271957397E-2,9.843679962E0,9.845073087E0
1.234159375E0,-1.510359192E-1,7.708969116E-2,9.838889923E0,9.840351091E0
1.244112958E0,-1.574725342E-1,7.424560547E-2,9.839937744E0,9.841477776E0
1.254062958E0,-1.588197327E-1,7.439529419E-2,9.841584320E0,9.843146870E0
1.264011958E0,-1.585203552E-1,7.933502197E-2,9.830507355E0,9.832105451E0
1.273960958E0,-1.606159973E-1,7.529342651E-2,9.844727783E0,9.846325798E0
1.283909958E0,-1.636097717E-1,7.005432129E-2,9.841734009E0,9.843343135E0
1.293859958E0,-1.597178650E-1,7.439529419E-2,9.842332764E0,9.843909726E0
1.303808958E0,-1.550775146E-1,8.292755127E-2,9.837243347E0,9.838815106E0
1.313757958E0,-1.603166199E-1,7.768844604E-2,9.845176849E0,9.846788518E0
1.323706958E0,-1.570234680E-1,7.619155884E-2,9.840985565E0,9.842533130E0
1.333656958E0,-1.579216003E-1,7.529342651E-2,9.832453308E0,9.834009680E0
1.343605958E0,-1.568737793E-1,7.155120850E-2,9.837842102E0,9.839352935E0
1.353554958E0,-1.474433899E-1,7.783813477E-2,9.849966888E0,9.851377875E0
1.363503958E0,-1.544787598E-1,7.604187012E-2,9.836195526E0,9.837702398E0
1.373452958E0,-1.528321838E-1,7.259902954E-2,9.833650818E0,9.835106339E0
1.383402958E0,-1.612147522E-1,7.529342651E-2,9.839039612E0,9.840648341E0
1.393351958E0,-1.550775146E-1,7.604187012E-2,9.834249573E0,9.835766165E0
1.403300958E0,-1.472937012E-1,7.349716187E-2,9.833950195E0,9.835327840E0
1.413249958E0,-1.459465027E-1,7.020401001E-2,9.849817200E0,9.851148555E0
1.423199958E0,-1.505868530E-1,7.050338745E-2,9.831555176E0,9.832961116E0
1.433148958E0,-1.567240906E-1,7.110214233E-2,9.843380585E0,9.844884930E0
1.443097958E0,-1.507365417E-1,7.424560547E-2,9.839338989E0,9.840773631E0
1.453046958E0,-1.679507446E-1,8.187973022E-2,9.841734009E0,9.843507507E0
1.462996958E0,-1.532812500E-1,7.768844604E-2,9.845476227E0,9.846975818E0
1.472945958E0,-1.562750244E-1,6.945556641E-2,9.833800507E0,9.835287406E0
1.482894958E0,-1.541793823E-1,7.499404907E-2,9.852212219E0,9.853703923E0
1.492843958E0,-1.654060364E-1,6.960525513E-2,9.841434631E0,9.843070641E0
1.502793958E0,-1.607656860E-1,7.229965210E-2,9.839338989E0,9.840917873E0
1.512742958E0,-1.489402771E-1,7.604187012E-2,9.843829651E0,9.845250010E0
1.522691958E0,-1.493893433E-1,7.170089722E-2,9.847272491E0,9.848666596E0
1.532640958E0,-1.544787598E-1,7.095245361E-2,9.838740234E0,9.840208704E0
1.542590958E0,-1.583706665E-1,7.604187012E-2,9.842931519E0,9.844499201E0
1.552539958E0,-1.606159973E-1,6.900650024E-2,9.854457550E0,9.856007965E0
1.562488958E0,-1.621128845E-1,7.424560547E-2,9.835447083E0,9.837063195E0
1.572437958E0,-1.583706665E-1,7.244934082E-2,9.837542725E0,9.839084156E0
1.582387958E0,-1.555265808E-1,6.930587769E-2,9.839039612E0,9.840512807E0
1.592336958E0,-1.516346741E-1,7.379653931E-2,9.843979340E0,9.845423721E0
1.602285958E0,-1.583706665E-1,8.202941895E-2,9.838889923E0,9.840506339E0
1.612234958E0,-1.633103943E-1,7.619155884E-2,9.845027161E0,9.846676355E0
1.622184958E0,-1.628613281E-1,6.915618896E-2,9.838740234E0,9.840331081E0
1.632133958E0,-1.568737793E-1,7.334747314E-2,9.835896149E0,9.837420510E0
1.642082958E0,-1.603166199E-1,7.244934082E-2,9.848170624E0,9.849741873E0
1.652031958E0,-1.510359192E-1,7.723937988E-2,9.842482452E0,9.843944260E0
1.661981958E0,-1.472937012E-1,7.214996338E-2,9.836644592E0,9.838011887E0
1.671930958E0,-1.483415222E-1,7.858657837E-2,9.845476227E0,9.846907291E0
1.681879958E0,-1.579216003E-1,8.786727905E-2,9.845625916E0,9.847284375E0
1.691828958E0,-1.553768921E-1,7.170089722E-2,9.837991791E0,9.839479939E0
1.701777958E0,-1.538800049E-1,7.005432129E-2,9.839788055E0,9.841240554E0
1.711727958E0,-1.532812500E-1,6.930587769E-2,9.837692413E0,9.839130575E0
1.721676958E0,-1.573228455E-1,7.364685059E-2,9.841434631E0,9.842967537E0
1.731625958E0,-1.529818726E-1,8.113128662E-2,9.838889923E0,9.840413643E0
1.741574958E0,-1.600172424E-1,7.559280396E-2,9.842482452E0,9.844073375E0
1.751524958E0,-1.532812500E-1,7.903564453E-2,9.839638367E0,9.841149575E0
1.761473958E0,-1.505868530E-1,7.229965210E-2,9.842781830E0,9.844199195E0
1.771422958E0,-1.546284485E-1,7.424560547E-2,9.835596771E0,9.837092366E0
1.781371958E0,-1.640588379E-1,7.888595581E-2,9.843380585E0,9.845063719E0
1.791321958E0,-1.468446350E-1,7.424560547E-2,9.840686188E0,9.842061796E0
1.801270958E0,-1.597178650E-1,7.334747314E-2,9.842781830E0,9.844350857E0
1.811219958E0,-1.462458801E-1,7.828720093E-2,9.844727783E0,9.846125221E0
1.821168958E0,-1.544787598E-1,7.634124756E-2,9.831255798E0,9.832765748E0
1.831118958E0,-1.475930786E-1,7.424560547E-2,9.827962646E0,9.829351246E0
1.841067958E0,-1.538800049E-1,8.607101440E-2,9.844727783E0,9.846306536E0
1.851016958E0,-1.609153748E-1,7.873626709E-2,9.839189301E0,9.840820050E0
1.860965958E0,-1.567240906E-1,7.334747314E-2,9.842931519E0,9.844452406E0
1.870915958E0,-1.537303162E-1,7.873626709E-2,9.836943970E0,9.838460198E0
1.880864958E0,-1.577719116E-1,6.750961304E-2,9.834099884E0,9.835597087E0
1.890813958E0,-1.532812500E-1,7.843688965E-2,9.838590546E0,9.840097124E0
1.900762958E0,-1.568737793E-1,7.768844604E-2,9.849966888E0,9.851522348E0
1.910712958E0,-1.556762695E-1,7.843688965E-2,9.836345215E0,9.837889745E0
1.920661958E0,-1.553768921E-1,7.214996338E-2,9.837542725E0,9.839034224E0
1.930610958E0,-1.517843628E-1,7.604187012E-2,9.834698639E0,9.836163794E0
1.940559958E0,-1.547781372E-1,7.424560547E-2,9.841284943E0,9.842782026E0
1.950509958E0,-1.577719116E-1,7.858657837E-2,9.852212219E0,9.853788786E0
1.960458958E0,-1.609153748E-1,7.185058594E-2,9.840237122E0,9.841815019E0
1.970407958E0,-1.634600830E-1,8.442443848E-2,9.837692413E0,9.839412518E0
1.980356958E0,-1.540296936E-1,8.472381592E-2,9.831555176E0,9.833126687E0
1.990306958E0,-1.517843628E-1,6.795867920E-2,9.831106110E0,9.832512609E0
2.000255958E0,-1.579216003E-1,7.634124756E-2,9.836794281E0,9.838358041E0
2.010204958E0,-1.558259583E-1,7.574249268E-2,9.842332764E0,9.843857622E0
2.020153958E0,-1.496887207E-1,7.813751221E-2,9.851314087E0,9.852761107E0
2.030102958E0,-1.630110168E-1,8.247848511E-2,9.835297394E0,9.836993957E0
2.040052958E0,-1.517843628E-1,8.262817383E-2,9.846074982E0,9.847591505E0
2.050001958E0,-1.574725342E-1,7.903564453E-2,9.848919067E0,9.850494964E0
2.059950958E0,-1.577719116E-1,7.679031372E-2,9.838740234E0,9.840304778E0
2.069899958E0,-1.516346741E-1,7.125183105E-2,9.831255798E0,9.832683279E0
2.079849958E0,-1.561253357E-1,7.379653931E-2,9.836195526E0,9.837711293E0
2.089798958E0,-1.513352966E-1,7.664062500E-2,9.843230896E0,9.844692511E0
2.099747958E0,-1.501377869E-1,6.840774536E-2,9.841883698E0,9.843266515E0
2.109696958E0,-1.537303162E-1,7.170089722E-2,9.835746460E0,9.837209078E0
2.119646958E0,-1.567240906E-1,7.289840698E-2,9.839788055E0,9.841306092E0
2.129595958E0,-1.486408997E-1,7.529342651E-2,9.854158173E0,9.855566778E0
2.139544958E0,-1.492396545E-1,7.469467163E-2,9.834998016E0,9.836413866E0
2.149493958E0,-1.504371643E-1,8.053253174E-2,9.837991791E0,9.839471495E0
2.159443958E0,-1.526824951E-1,6.466552734E-2,9.833052063E0,9.834449982E0
2.169392958E0,-1.448986816E-1,7.229965210E-2,9.838740234E0,9.840072778E0
2.179341958E0,-1.559756470E-1,6.915618896E-2,9.839788055E0,9.841267193E0
2.189290958E0,-1.501377869E-1,7.948471069E-2,9.842332764E0,9.843798728E0
2.199240958E0,-1.505868530E-1,7.020401001E-2,9.840237122E0,9.841639681E0
2.209189958E0,-1.655557251E-1,7.649093628E-2,9.837393036E0,9.839083357E0
2.219138958E0,-1.592687988E-1,7.379653931E-2,9.845925293E0,9.847489901E0
2.229087958E0,-1.568737793E-1,7.813751221E-2,9.838740234E0,9.840301025E0
2.239037833E0,-1.595681763E-1,7.828720093E-2,9.845775604E0,9.847379760E0
2.248986833E0,-1.564247131E-1,7.454498291E-2,9.837093658E0,9.838619684E0
2.258935833E0,-1.589694214E-1,7.574249268E-2,9.843081207E0,9.844656208E0
2.268884833E0,-1.547781372E-1,7.679031372E-2,9.849218445E0,9.850733830E0
2.278834833E0,-1.564247131E-1,7.708969116E-2,9.843230896E0,9.844775568E0
